문제,답변,날짜,Person,범위
useEffect 콜백 인수로 비동기함수를 지정 할 수 없는 이유,"• 경쟁상태가 발생할 수 있다.
• 비동기 함수를 지정할 수 없는 것이지, 비동기 함수 실행 자체가 문제가 되는것은 아니다,",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useMemo란?,"• 비용이 큰 연산에 대한 결과를 저장해 두고, 이 저장된 값을 반환하는 훅",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useCallback이란?,"• 인수로 넘겨받은 콜백 자체를 기억하는것, 쉽게 말해 함수를 메모이제이션한다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useMemo와 useCallback 둘의 차이점은?,"• useMemo는 변수를 메모이제이션하고, useCallback은 함수를 메모이제이션한다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useRef는 무엇이고 useState와 구별되는 큰 차이점은 ?,"• 컴포넌트 내부에서 렌더링이 일어나도 변경 가능한 상태값을 저장하는것
• 차이점 1. useRef는 반환값인, 객체 내부에 있는 current로 값에 접근 또는 변경할 수 있다.
• 차이점 2. useRef는 그 값이 변하더라도 렌더링을 발생시키지 않는다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useRef의 장점,"• 컴포넌트가 렌더링 될때만 생성되는 변수이다.
• 컴포넌트 인스턴스가 여러 개라도 각각 별개의 값을 바라볼 수 있다.
• 개발자가 원하는 시점의 값을 렌더링에 영향을 미치지 않고 보관할 수 있다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useContext란?,"• props drilling을 해결하기위해 등장했다.
• 명시적인 props전달 없이도 선언한 하위 컴포넌트 모두에서 자유롭게 원하는 값을 사용할 수 있다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useContext를 사용할 때 주의할 점,"• 컴포넌트 재활용이 어려워진다, useContext가 선언돼 있으면 Provider에 의존성을 가지고 있는 셈이 되므로 재활용 하기 어려워진다.
• 모든 콘텍스트를 최상위 루트 컴포넌트에 넣으면 안된다, 콘텍스트가 많아질수록 루트 컴포넌트는 더 많은 콘텍스트로 둘러싸일 것이고, 해당 props를 다수의 컴포넌트에서 사용할 수 있게끔 해야 하므로 불필요하게 리소스가 낭비된다. 따라서 컨택스트가 미치는 범위는 필요한 환경에서 최대한 좁게 만들어야 한다.
• 상태 관리를 위한 리액트 API가 아니다, 상태관리 API조건은
    1. 어떠한 상태를 기반으로 다른 상태를 만들어낼 수 있어야한다
    2. 필요에 따라 이러한 상태 변화를 최적화할 수 있어야 한다.
    3. 콘텍스트는 둘 중 어느것도 하지 못한다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useReducer란?,• state값을 변경하는 시나리오를 제한적으로 두고 이에 대한 변경을 빠르게 확인할 수 있게끔하는 훅,2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useState와 useReducer의 공통점과 차이점,"공통점 : 클로저를 활용해 값을 가둬서 state를 관리한다
차이점 : 세부 작동과 쓰임에만 차이가 있다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
forwardRef란?,"• ref를 전달하는 데 있어서 일관성을 제공하기 위해, props에 ref 예약어를 사용하면 에러발생",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useImperativeHandle이란?,• 부모에게서 넘겨받은 ref를 원하는 대로 수정할 수 있는 훅,2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
useLayoutEffect는 무엇이고 useEffect와 공통점과 차이점은?,"공통점 : useEffect와 사용의 형태가 별반 다르지 않다.
차이점 : useLayoutEffect는 모든 리액트 DOM의 변경 후에 실행된다. useEffect는 브라우저에 변경 사항이 반영된 이후에 실행된다",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
훅의 규칙 두가지,"1. 최상위에서만 훅을 호출해야 한다. 반복문이나 조건문, 중첩된 함수 내에서 훅을 실행할 수 없다. 이 규칙을 따라야만 컴포넌트가 렌더링 될 때마다 항상 동일한 순서로 훅이 호출되는 것을 보장할 수 있다.
2. 훅을 호출할 수 있는 것은 리액트 함수형 컴포넌트, 혹은 사용자 정의 훅의 두 가지 경우뿐이다. 일반 자바스크립트 함수에서는 훅을 사용할 수 없다.",2024년 1월 6일,지찬 주,3.1 리액트의 모든 훅 파헤치기 ( p. 189 - p.251 )
사용자 정의 훅과 고차 컴포넌트의 차이점,"• 공통점 : 여러 컴포넌트에 반복되는 로직이면 따로 분리하여 컴포넌트 크기를 줄이고 가독성을 향상시킨다.
• 사용자 정의 훅 : 리액트에서만 사용 가능, use로 시작, 렌더링 결과물에는 영향을 주지 않기에 컴포넌트 내부에 미치는 영향을 최소화해 개발자가 원하는 방향으로 사용이 가능하다.
• 고차 컴포넌트 : 고차 함수의 일종으로 자바스크립트 환경에서 사용 가능, with로 시작, 렌더링 결과물에 영향을 주는 로직의 경우일 때 많이 사용하므로 부수 효과를 최소한으로 한다던지 컴포넌트에 미치는 영향을 좀 더 고려해야한다.",2024년 1월 8일,"JIN ","3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
JAM 스택은 어떤 문제를 해결했나요?,"서버에 의존적인데 서버 확장에 어려움을 겪는 문제를 해결, 자바스크립트와 마크업을 미리 빌드해놓고 정적으로 사용자에게 제공하면 작동은 클라이언트에서 실행",2024년 1월 8일,"JIN ","3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
싱글 페이지 어플리케이션과 서버 사이드 렌더링의 차이는?,"웹페이지 렌더링을 어디서 하는가, 클라이언트에서 한다 ⇒ SPA, 서버 사이트라면 서버에서 제공하여 사용자 기기 성능 영향을 덜 받는다.",2024년 1월 8일,"JIN ","3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
서버 사이드 렌더링이 검색엔진에 좀 더 최적화된 이유?,"검색엔진 로봇이 HTML 을 다운로드만 하고 JS 실행을 하지 않기 때문에, SPA 는 작동 대부분이 JS 의존적인데 검색 엔진에 저장되는 메타정보 또한 그렇다. 페이지 최초 진입 시 메타 정보를 제공할 수 있도록 조치를 취하지 않으면 검색엔진, SNS 공유에 불이익이 있을 수 있다. 반면 SSR은 렌더링 작업이 서버에서 일어나므로 검색엔진에 제공할 정보를 서버에서 가공하여 HTML 응답으로 제공할 수 있다.",2024년 1월 8일,"JIN ","3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
서버 사이드 렌더링을 위한 API 중 renderToNodeStream API는 왜 필요한가?,생성해야하는 HTML 크기가 매우 클 때 서버에 무리가 될 수 있기 때문에 청크 단위로 분리해 순차적으로 처리할 수 있는 장점이 있다.,2024년 1월 8일,"JIN ","3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
사용자 정의 훅이란 ?,• 서로 다른 컴포넌트 내부에서 같은 로직을 공유하고자 할 때 주로 사용되는 것이며 리액트에서만 사용할 수 있다.,2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
고차 컴포넌트란?,• 컴포넌트 자체의 로직을 재사용하기 위한 방법이며 굳이 리액트가 아니더라도 자바스크립트 환경에서 널리 쓰일 수 있다.,2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
고차 함수란?,• 함수를 인수로 받거나 결과로 반환하는 함수,2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
사용자 정의 훅이 필요한 경우는 어떨 때인가?,"• 단순히 useEffect, useState와 같이 리액트에서 제공하는 훅으로만 공통 로직을 격리할 수 있다면 사용자 정의 훅을 사용하는 것이 좋다. 사용자 정의 훅은 그 자체로는 렌더링에 영향을 미치지 못하기 때문에 사용이 제한적이므로 반환하는 값을 바탕으로 무엇을 할지는 개발자에게 달려 있다. 따라서 컴포넌트 내부에 미치는 영향을 최소화해 개발자가 훅을 원하는 방향으로만 사용할 수 있다는 장점이 있다.",2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
고차 컴포넌트를 사용해야 하는 경우는 어떨 때 인가?,"• 함수형 컴포넌트의 반환값, 즉 렌더링의 결과물에도 영향을 미치는 공통 로직일때, 즉 공통화된 렌더링 로직을 처리할때, 하지만 고차 컴포넌트가 많아질수록 복잡성이 기하급수적으로 증가하므로 신중하게 사용해야 한다.",2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
싱글 페이지 어플리케이션이란?,• 렌더링과 라우팅에 필요한 대부분의 기능을 서버가 아닌 브라우저의 자바스크립트에 의존하는 방식,2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
JAM 스택이란?,"• Javascript, API, Markup 스택의 약자",2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
서버 사이드 렌더링이란 ?,• 사용자에게 보여줄 페이지를 서버에서 렌더링해 빠르게 사용자에게 화면을 제공하는 방식,2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
